ward_id,year_month,predicted_density
E05009336,2024-09,12.903926
E05009336,2024-10,12.311968
E05009336,2024-11,12.190516
E05009336,2024-12,14.690251
E05009336,2025-01,14.877594
E05009336,2025-02,14.062687
E05009367,2024-08,9.234582
E05009367,2024-09,10.480375
E05009367,2024-10,10.151829
E05009367,2024-11,9.950895
E05009367,2024-12,9.673969
E05009367,2025-01,8.773389
E05009367,2025-02,8.210203
E05009368,2024-08,5.830314
E05009368,2024-09,6.4660788
E05009368,2024-10,7.2251806
E05009368,2024-11,6.3588443
E05009368,2024-12,6.0632205
E05009368,2025-01,6.494056
E05009368,2025-02,6.3246307
E05009369,2024-08,6.953731
E05009369,2024-09,7.242463
E05009369,2024-10,6.775273
E05009369,2024-11,7.391395
E05009369,2024-12,7.667034
E05009369,2025-01,7.3821898
E05009369,2025-02,7.2184396
E05009370,2024-08,12.804351
E05009370,2024-09,13.857667
E05009370,2024-10,11.236282
E05009370,2024-11,17.661623
E05009370,2024-12,19.084356
E05009370,2025-01,19.43123
E05009370,2025-02,16.273853
E05009371,2024-08,11.227669
E05009371,2024-09,11.380368
E05009371,2024-10,10.944133
E05009371,2024-11,11.486705
E05009371,2024-12,11.744622
E05009371,2025-01,11.99039
E05009371,2025-02,11.697098
E05009372,2024-08,12.28468
E05009372,2024-09,12.026517
E05009372,2024-10,11.528726
E05009372,2024-11,12.013665
E05009372,2024-12,11.478061
E05009372,2025-01,12.164107
E05009372,2025-02,11.310369
E05009373,2024-08,9.35818
E05009373,2024-09,8.751305
E05009373,2024-10,8.7455015
E05009373,2024-11,9.156302
E05009373,2024-12,9.221053
E05009373,2025-01,8.85198
E05009373,2025-02,8.454298
E05009374,2024-08,5.182295
E05009374,2024-09,4.871609
E05009374,2024-10,5.2752132
E05009374,2024-11,5.9755387
E05009374,2024-12,6.2342377
E05009374,2025-01,6.2048554
E05009374,2025-02,5.1746078
E05009375,2024-08,8.727452
E05009375,2024-09,8.780465
E05009375,2024-10,8.772753
E05009375,2024-11,8.916194
E05009375,2024-12,8.604901
E05009375,2025-01,9.100532
E05009375,2025-02,9.184209
E05009376,2024-08,12.25167
E05009376,2024-09,12.509358
E05009376,2024-10,11.212729
E05009376,2024-11,11.266038
E05009376,2024-12,12.066956
E05009376,2025-01,12.185551
E05009376,2025-02,11.558753
E05009377,2024-08,13.6401415
E05009377,2024-09,12.55614
E05009377,2024-10,13.311249
E05009377,2024-11,13.339875
E05009377,2024-12,13.64185
E05009377,2025-01,13.407309
E05009377,2025-02,13.703526
E05009378,2024-08,15.058878
E05009378,2024-09,13.548146
E05009378,2024-10,16.138882
E05009378,2024-11,18.560484
E05009378,2024-12,19.557827
E05009378,2025-01,21.339746
E05009378,2025-02,17.61595
E05009379,2024-08,2.6663814
E05009379,2024-09,2.7971487
E05009379,2024-10,3.5343103
E05009379,2024-11,3.5852916
E05009379,2024-12,3.593135
E05009379,2025-01,3.0951838
E05009379,2025-02,3.0284686
E05009380,2024-08,10.126936
E05009380,2024-09,9.5991
E05009380,2024-10,9.328823
E05009380,2024-11,9.733909
E05009380,2024-12,9.718776
E05009380,2025-01,9.508623
E05009380,2025-02,9.209617
E05009381,2024-08,11.442256
E05009381,2024-09,11.237559
E05009381,2024-10,10.907539
E05009381,2024-11,11.078232
E05009381,2024-12,11.293224
E05009381,2025-01,11.718635
E05009381,2025-02,11.11328
E05009382,2024-08,10.883925
E05009382,2024-09,10.872155
E05009382,2024-10,10.465446
E05009382,2024-11,12.247983
E05009382,2024-12,11.815283
E05009382,2025-01,11.662075
E05009382,2025-02,11.502018
E05009383,2024-08,4.687672
E05009383,2024-09,6.207596
E05009383,2024-10,6.3204865
E05009383,2024-11,5.8636956
E05009383,2024-12,5.4865522
E05009383,2025-01,6.0580764
E05009383,2025-02,5.8282084
E05009384,2024-08,2.881951
E05009384,2024-09,2.7753756
E05009384,2024-10,2.892031
E05009384,2024-11,2.7562838
E05009384,2024-12,3.032971
E05009384,2025-01,2.7879148
E05009384,2025-02,3.5212343
E05009385,2024-08,6.145347
E05009385,2024-09,6.598017
E05009385,2024-10,5.9107447
E05009385,2024-11,7.0126386
E05009385,2024-12,6.7945123
E05009385,2025-01,6.3464165
E05009385,2025-02,6.564905
E05009386,2024-08,9.051094
E05009386,2024-09,9.57828
E05009386,2024-10,9.197392
E05009386,2024-11,9.513015
E05009386,2024-12,10.254224
E05009386,2025-01,10.700751
E05009386,2025-02,9.951179
E05009387,2024-08,6.00773
E05009387,2024-09,6.8376083
E05009387,2024-10,6.095812
E05009387,2024-11,6.057933
E05009387,2024-12,6.499856
E05009387,2025-01,7.183004
E05009387,2025-02,7.3024535
E05009388,2024-08,7.463944
E05009388,2024-09,6.7377977
